hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,min_degree_juror,max_degree_juror,avg_degree_non_juror
200,0.9,10,5,2,19,8,29893276416.0,332147.0,1.8152862539959338,20.0,0.0,33.96000000000001,33.99999999999999,33.57894736842113,25.0,42.0
200,0.9,10,5,2,19,9,27507800000.0,305642.0,1.8122110939907545,20.0,0.0,31.249999999999996,31.149171270718256,32.21052631578949,0.0,47.0
200,0.9,10,5,2,19,10,27490195008.0,305446.0,1.8124678993323087,20.0,0.0,31.230000000000015,31.24861878453035,31.052631578947395,0.0,41.0
200,0.9,10,5,2,19,11,30870353472.0,343003.0,1.8115692024610437,20.0,0.0,35.070000000000064,35.20329670329661,33.72222222222218,0.0,46.0
200,0.9,10,5,2,19,12,30421426176.0,338015.0,1.8106933019976472,20.0,0.0,34.559999999999974,34.516483516483596,34.99999999999999,0.0,46.0
200,0.9,10,5,2,20,6,28546494528.0,317183.0,1.808036564463916,20.0,0.0,32.42999999999994,32.817679558011115,28.736842105263193,18.0,41.0
200,0.9,10,5,2,20,7,30500648640.0,338896.0,1.8042995256110046,20.0,0.0,34.65000000000006,35.12087912087915,29.888888888888843,0.0,40.0
200,0.9,10,5,2,20,8,31204848320.0,346720.0,1.8051116333725006,20.0,0.0,35.44999999999994,36.176795580110564,28.526315789473724,0.0,39.0
200,0.9,10,5,2,20,9,29576386560.0,328626.0,1.8060211049037855,20.0,0.0,33.600000000000016,34.055248618784496,29.2631578947368,0.0,42.0
200,0.9,10,5,2,20,10,29822856448.0,331365.0,1.8060159607120945,20.0,0.0,33.880000000000074,33.82872928176801,34.368421052631646,0.0,50.0
200,0.9,10,5,2,20,11,29682016512.0,329800.0,1.8017073630029479,20.0,0.0,33.71999999999993,33.74725274725278,33.44444444444438,0.0,45.0
200,0.9,10,5,2,20,12,27622232448.0,306913.0,1.804678048124745,20.0,0.0,31.380000000000074,31.116022099447495,33.894736842105324,0.0,46.0
200,0.9,10,5,2,21,6,30456636160.0,338407.0,1.7966229364132849,20.0,0.0,34.599999999999945,35.8901098901098,21.555555555555603,0.0,35.0
